domicilio_barrio,superficie_km_cuadrado,habitantes,densidad_habitantes, cantidad_denuncias
AGRONOMIA,"2.1 ",34580,8645, 112
ALMAGRO,"4.1 ",139262,33960, 398
BALVANERA,"4.4 ",152198,34950, 346
BARRACAS,"7.6 ",77474,10194, 115
BELGRANO,"6.8 ",138942,20433, 564
BOEDO,"2.6 ",48520,18662, 143
CABALLITO,"6.8 ",183396,25830, 629
CHACARITA,"3.1 ",27440,9800, 101
COGHLAN,"1.3 ",19177,14752, 64
COLEGIALES,"2.3 ",56998,21922, 230
CONSTITUCION,"2.1 ",45860,21838, 42
FLORES,"7.8 ",150484,18578, 411
FLORESTA,"2.3 ",39473,16447, 183
BOCA,"3.1 ",46494,14089, 27
PATERNAL,"2.2 ",20053,8355, 53
LINIERS,"4.3 ",44234,8191, 191
MATADEROS,"7.3 ",64932,8544, 250
MONSERRAT,2.2,43560,19800, 71
MONTE CASTRO,"2.6 ",34584,11926, 184
NUEVA POMPEYA,"6.2 ",63276,10373, 251
NUÑEZ,"4.5 ",53005,13591, 246
PALERMO,"15.9 ",252312,14501, 1262
PARQUE AVELLANEDA,"5.1 ",54191,10421, 120
PARQUE CHACABUCO,"3.8 ",39473,16447, 116
PARQUE CHAS,"1.4 ",39473,28195, 134
PARQUE PATRICIOS,"3.7 ",40885,10759, 57
PUERTO MADERO,"2.1 ",7000,3333,20
RECOLETA,"5.9 ",188780,34959, 228
RETIRO,"2.8 ",45002,15518, 58
SAAVEDRA,"5.6 ",51723,8767, 193
SAN CRISTOBAL,"2.1 ",49986,23803, 86
SAN NICOLÁS,"2.3 ",33305,13877, 78
SAN TELMO,"1.2 ",25969,19976, 33
VELEZ SARSFIELD,"2.4 ",35963,14985, 99
VERSALLES,"1.5 ",14178,9452, 34
VILLA CRESPO,"3.6 ",89859,23647, 313
VILLA DEL PARQUE,"3.4 ",58573,16270, 202
VILLA DEVOTO,"6.4 ",71013,10760, 352
VILLA GRAL. MITRE,"2.2 ",36090,16405, 96
VILLA LUGANO,"9.0 ",114253,12419, 109
VILLA LURO,"2.6 ",33058,12715, 143
VILLA ORTUZAR,"1.8 ",22591,18826, 179
VILLA PUEYRREDON,"3.3 ",40235,10874, 246
VILLA REAL,"1.3 ",14278,9519, 55
VILLA RIACHUELO,"4.1 ",14960,3400, 35
VILLA SANTA RITA,"2.2 ",33850,14717, 138
VILLA SOLDATI,"8.6 ",41228,4739, 516
VILLA URQUIZA,"5.4 ",89360,15957, 762
