domicilio_barrio,densidad_habitantes,cantidad_denuncias
VILLA PUEYRREDON,10874.0,246.0
CABALLITO,25830.0,629.0
PARQUE AVELLANEDA,10421.0,120.0
VILLA URQUIZA,15957.0,762.0
ALMAGRO,33960.0,398.0
FLORES,18578.0,411.0
PALERMO,14501.0,1262.0
MONTE CASTRO,11926.0,184.0
NUÑEZ,13591.0,246.0
MATADEROS,8544.0,250.0
RECOLETA,34959.0,228.0
BOEDO,18662.0,143.0
PARQUE CHAS,28195.0,134.0
VILLA DEVOTO,10760.0,352.0
VELEZ SARSFIELD,14985.0,99.0
BELGRANO,20433.0,564.0
BALVANERA,34950.0,346.0
VILLA CRESPO,23647.0,313.0
VILLA LURO,12715.0,143.0
SAAVEDRA,8767.0,193.0
VILLA GRAL. MITRE,16405.0,96.0
BARRACAS,10194.0,115.0
VILLA LUGANO,12419.0,109.0
VILLA DEL PARQUE,16270.0,202.0
LINIERS,8191.0,191.0
VILLA REAL,9519.0,55.0
RETIRO,15518.0,58.0
NUEVA POMPEYA,10373.0,251.0
PATERNAL,8355.0,53.0
COGHLAN,14752.0,64.0
VILLA SANTA RITA,14717.0,138.0
COLEGIALES,21922.0,230.0
VILLA ORTUZAR,18826.0,179.0
VILLA SOLDATI,4739.0,516.0
AGRONOMIA,8645.0,112.0
PARQUE PATRICIOS,10759.0,57.0
FLORESTA,16447.0,183.0
MONSERRAT,19800.0,71.0
VERSALLES,9452.0,34.0
CONSTITUCION,21838.0,42.0
SAN CRISTOBAL,23803.0,86.0
SAN TELMO,19976.0,33.0
CHACARITA,9800.0,101.0
PARQUE CHACABUCO,16447.0,116.0
VILLA RIACHUELO,3400.0,35.0
SAN NICOLAS,,
BOCA,14089.0,27.0
PUERTO MADERO,3333.0,20.0
